id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
6494,CKJ9,,Lemberg Airport,Lemberg,Saskatchewan,CA,2050,50.70890045,-103.1969986,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6495,CKK2,,St. Brieux Airport,St. Brieux,Saskatchewan,CA,1780,52.65000153,-104.8669968,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6496,CKK3,,Scobey Border Station Airport,Coronach,Montana,CA,2501,48.99946594,-105.3993378,America/Denver,2020-08-18 12:04:00,2020-08-18 12:04:00
6497,CKK4,,Estevan (South) Airport,Estevan,Saskatchewan,CA,1900,49.03889847,-102.9759979,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6498,CKK5,,Eastend Airport,Eastend,Saskatchewan,CA,3040,49.54999924,-108.8000031,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6499,CKK7,,Steinbach (South) Airport,Steinbach,Manitoba,CA,888,49.4939003,-96.69889832,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6500,CKL2,,Selkirk Airport,Selkirk,Manitoba,CA,747,50.17219925,-96.87220001,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6501,CKL3,WNN,Wunnumin Lake Airport,Wunnumin Lake,Ontario,CA,819,52.89390183,-89.28919983,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6502,CKL5,,Shoal Lake Airport,Shoal Lake,Manitoba,CA,1836,50.45750046,-100.6090012,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6503,CKL6,,Little Bear Lake Airport,Little Bear Lake,Saskatchewan,CA,2100,54.29190063,-104.6709976,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6504,CKL9,,Regina Beach Airport,Regina Beach,Saskatchewan,CA,1850,50.75279999,-104.9789963,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6505,CKM2,,Sioux Narrows Airport,Sioux Narrows,Ontario,CA,1100,49.38999939,-93.99530029,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6506,CKM4,,Jan Lake Airport,Jan Lake,Saskatchewan,CA,1135,54.8307991,-102.7890015,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6507,CKM6,,Easterville Airport,Easterville,Manitoba,CA,850,53.11669922,-99.80000305,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6508,CKM8,,Opapimiskan Lake Airport,Opapimiskan Lake,Ontario,CA,1023,52.6067009,-90.37689972,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6509,CKN5,,Fillmore Airport,Fillmore,Saskatchewan,CA,2000,49.8689003,-103.4449997,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6510,CKN8,,Nekweaga Bay Airport,Nekweaga Bay,Saskatchewan,CA,1320,57.74250031,-103.9449997,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6511,CKP2,,Spring Valley (North) Airport,Spring Valley,Saskatchewan,CA,2200,50.06000137,-105.4020004,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6512,CKQ2,,Squaw Rapids Airport,Squaw Rapids,Saskatchewan,CA,1040,53.67860031,-103.3499985,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6513,CKQ3,YNO,North Spirit Lake Airport,North Spirit Lake,Ontario,CA,1082,52.49000168,-92.97109985,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6514,CKQ5,,Lucky Lake Airport,Lucky Lake,Saskatchewan,CA,2084,50.99420166,-107.1309967,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6515,CKQ6,,Erickson Municipal Airport,Erickson,Manitoba,CA,2114,50.49940109,-99.89779663,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
