20082,SANO,,Chilecito Airport,Chilecito,La-Rioja,AR,3099,-29.22389984,-67.43890381,America/Argentina/La_Rioja,2020-08-18 12:04:00,2020-08-18 12:04:00
20083,SANT,TUC,Teniente Benjamin Matienzo Airport,San Miguel de Tucuman,Tucuman,AR,1493,-26.84090042,-65.10489655,America/Argentina/Tucuman,2020-08-18 12:04:00,2020-08-18 12:04:00
20084,SANU,UAQ,Domingo Faustino Sarmiento Airport,San Juan,San-Juan,AR,1958,-31.57150078,-68.41819763,America/Argentina/San_Juan,2020-08-18 12:04:00,2020-08-18 12:04:00
20085,SANW,CRR,Ceres Airport,Ceres,Santa-Fe,AR,285,-29.8631,-61.8728,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20086,SAOC,RCU,Area De Material Airport,Rio Cuarto,Cordoba,AR,1380,-33.08509827,-64.26129913,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20087,SAOD,VDR,Villa Dolores Airport,Villa Dolores,Cordoba,AR,1847,-31.94519997,-65.14630127,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20088,SAOE,,Rio Tercero Airport,Rio Tercero,Cordoba,AR,1246,-32.1733017,-64.08830261,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20089,SAOI,,Villa Maria Airport,Villa Maria del Rio Seco,Cordoba,AR,672,-32.38940048,-63.25859833,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20090,SAOL,,Laboulaye Airport,Laboulaye,Cordoba,AR,449,-34.13539886,-63.36230087,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20091,SAOM,,Marcos Juarez Airport,Marcos Juarez,Cordoba,AR,360,-32.6836,-62.1578,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20092,SAOR,VME,Villa Reynolds Airport,Villa Reynolds,San-Luis,AR,1591,-33.72990036,-65.38739777,America/Argentina/San_Luis,2020-08-18 12:04:00,2020-08-18 12:04:00
20093,SAOS,RLO,Valle Del Conlara International Airport,Merlo,San-Luis,AR,2021,-32.38470078,-65.18650055,America/Argentina/San_Luis,2020-08-18 12:04:00,2020-08-18 12:04:00
20094,SAOU,LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,San-Luis,AR,2328,-33.27320099,-66.35639954,America/Argentina/San_Luis,2020-08-18 12:04:00,2020-08-18 12:04:00
20095,SARC,CNQ,Corrientes Airport,Corrientes,Corrientes,AR,202,-27.4455,-58.7619,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20096,SARD,,Resistencia (City) Airport,Resistencia,Chaco,AR,175,-27.46570015,-58.97900009,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20097,SARE,RES,Resistencia International Airport,Resistencia,Chaco,AR,173,-27.45,-59.0561,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20098,SARF,FMA,Formosa Airport,Formosa,Formosa,AR,193,-26.2127,-58.2281,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20099,SARG,,Caa Cati Airport,General Paz,Corrientes,AR,249,-27.75530052,-57.63299942,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20100,SARI,IGR,Cataratas Del Iguazu International Airport,Puerto Iguazu,Misiones,AR,916,-25.73730087,-54.47340012,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20101,SARL,AOL,Paso De Los Libres Airport,Paso de los Libres,Corrientes,AR,230,-29.6894,-57.1521,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20102,SARM,MCS,Monte Caseros Airport,Monte Caseros,Corrientes,AR,170,-30.2719,-57.6402,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20103,SARP,PSS,Libertador Gral D Jose De San Martin Airport,Posadas,Misiones,AR,430,-27.3858,-55.9707,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20104,SARS,PRQ,Termal Airport,Presidencia Roque Saenz Pena,Chaco,AR,308,-26.75361061,-60.49222183,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20105,SARV,,Villa Angela Airport,Villa Angela,Chaco,AR,246,-27.5915,-60.6864,America/Argentina/Cordoba,2020-08-18 12:04:00,2020-08-18 12:04:00
20106,SASA,SLA,Martin Miguel De Guemes International Airport,Salta,Salta,AR,4088,-24.8560009,-65.48619843,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20107,SASJ,JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,Jujuy,AR,3019,-24.39279938,-65.09780121,America/Argentina/Jujuy,2020-08-18 12:04:00,2020-08-18 12:04:00
20108,SASL,,Salar De Cauchari Airport,Salar de Cauchari,Salta,AR,13000,-24.01919937,-66.79720306,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20109,SASM,,Metan Airport,Metan,Salta,AR,2765,-25.51440048,-64.96559906,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20110,SASO,ORA,Oran Airport,Oran,Salta,AR,1171,-23.15279961,-64.32920074,America/Argentina/Salta,2020-08-18 12:04:00,2020-08-18 12:04:00
20111,SASQ,,La Quiaca Airport,La Quiaca,Jujuy,AR,11414,-22.15060043,-65.57749939,America/Argentina/Jujuy,2020-08-18 12:04:00,2020-08-18 12:04:00
